game_title,user_review_count,critic_review_count,developer,platforms,platform_count,Avg_Rank,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,metascore,Difficulty_Easy,Difficulty_Just_Right,Difficulty_Simple,Difficulty_Tough,Difficulty_Unforgiving,Play Time_<_1_Hour,Play Time_>=_80_Hours,Play Time_~1_Hour,Play Time_~12_Hours,Play Time_~2_Hours,Play Time_~20_Hours,Play Time_~4_Hours,Play Time_~40_Hours,Play Time_~60_Hours,Play Time_~8_Hours,Completion_Beat_It,Completion_Conquered_It,Completion_Halfway,Completion_Played_It,Completion_Tried_It
4x4 evo 2,0.0,15.0,Terminal Reality,"pc, xbox",2.0,8070.5,2001,Racing,Gathering of Developers,0.29,0.08,0.0,0.01,0.38,59,25.0,50.0,5.0,10.0,10.0,6.25,12.5,6.25,50.0,0.0,6.25,6.25,12.5,0.0,0.0,37.14,14.29,2.86,28.57,17.14
4x4 evolution,19.0,23.0,Terminal Reality,"pc, playstation-2, dreamcast",3.0,5681.0,2001,Racing,Gathering of Developers,0.16,0.12,0.0,0.04,0.32,73,6.25,65.63,0.0,21.88,6.25,0.0,5.56,0.0,22.22,0.0,27.78,0.0,16.67,16.67,11.11,34.69,10.2,8.16,30.61,16.33
50 cent: blood on the sand,55.0,54.0,Swordfish Studios,"playstation-3, xbox-360",2.0,7582.0,2009,Shooter,THQ,0.22,0.13,0.01,0.05,0.41,71,25.86,62.07,3.45,6.9,1.72,0.0,5.0,0.0,32.5,2.5,10.0,10.0,2.5,0.0,37.5,48.8,14.46,5.42,12.65,18.67
50 cent: bulletproof,12.0,25.0,High Voltage Software,"playstation-2, xbox, psp",3.0,5538.0,2005,Action,Vivendi Games,1.26,0.86,0.0,0.19,2.31,52,14.86,47.3,4.05,25.68,8.11,0.0,5.88,3.92,29.41,3.92,17.65,17.65,5.88,3.92,11.76,38.73,19.01,8.45,18.31,15.49
7 days to die,218.0,17.0,Iron Galaxy Studios,"playstation-4, xbox-one, pc",3.0,11766.0,2016,Action,Telltale Games,0.05,0.09,0.0,0.02,0.16,35,7.95,49.01,1.32,35.76,5.96,0.0,67.86,2.38,5.95,0.0,3.57,3.57,7.14,7.14,2.38,25.0,11.11,12.22,41.67,10.0
7 wonders of the ancient world,4.0,10.0,Hot Lava Games,"ds, playstation-2, psp",3.0,10552.5,2007,Puzzle,Funsta,0.17,0.01,0.0,0.02,0.2,51,15.0,75.0,5.0,0.0,5.0,0.0,0.0,0.0,29.41,0.0,35.29,11.76,0.0,5.88,17.65,44.0,18.0,6.0,8.0,24.0
7th dragon iii code: vfd,60.0,31.0,Sega,3ds,1.0,8678.0,2015,Role-Playing,Sega,0.03,0.0,0.12,0.0,0.15,76,10.49,65.92,1.5,19.48,2.62,0.0,4.94,0.62,0.0,0.0,11.11,0.62,53.7,28.4,0.62,39.74,18.57,12.7,23.45,5.54
a boy and his blob,35.0,43.0,WayForward,"wii, playstation-4, pc, playstation-vita",4.0,7181.0,2009,Platform,Majesco,0.19,0.02,0.0,0.02,0.2299999999999999,80,12.74,64.33,1.27,20.38,1.27,0.0,1.18,0.0,29.41,0.0,50.59,0.0,8.24,1.18,9.41,23.58,18.87,14.78,23.27,19.5
a new beginning,99.0,20.0,Daedalic Entertainment,pc,1.0,12417.0,2010,Adventure,Deep Silver,0.0,0.05,0.0,0.01,0.06,72,12.96,66.67,1.85,16.67,1.85,2.17,0.0,0.0,54.35,0.0,13.04,8.7,4.35,0.0,17.39,29.07,32.56,8.14,11.63,18.6
a vampyre story,13.0,33.0,Autumn Moon,pc,1.0,15827.0,2008,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.01,75,10.71,53.57,0.0,32.14,3.57,9.52,4.76,0.0,23.81,0.0,28.57,4.76,19.05,4.76,4.76,29.82,28.07,8.77,14.04,19.3
a witch's tale,8.0,17.0,Nippon Ichi Software,ds,1.0,10002.0,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.12,50,36.17,51.06,2.13,10.64,0.0,0.0,16.67,0.0,8.33,0.0,16.67,0.0,41.67,16.67,0.0,16.34,15.03,7.19,30.07,31.37
ace attorney investigations: miles edgeworth,114.0,51.0,Capcom,ds,1.0,2716.0,2009,Adventure,Capcom,0.27,0.15,0.3,0.04,0.76,78,10.45,75.0,1.76,12.79,0.0,0.0,1.7,0.0,18.16,0.14,56.6,1.84,12.91,0.99,7.66,26.71,48.0,7.57,8.72,9.0
ace combat 04: shattered skies,119.0,22.0,Project Aces,playstation-2,1.0,434.0,2001,Simulation,Sony,2.06,0.56,0.38,0.17,3.17,89,9.18,72.71,0.48,16.18,1.45,0.0,7.38,0.67,19.13,1.68,28.19,9.06,16.44,4.03,13.42,38.01,34.97,5.81,10.35,10.86
ace combat 5: the unsung war,130.0,57.0,Project Aces,playstation-2,1.0,1046.0,2004,Simulation,Sony,0.88,0.34,0.32,0.18,1.72,84,4.68,71.43,0.74,20.94,2.22,0.32,6.49,0.65,11.04,0.32,25.32,3.57,35.39,6.17,10.71,39.77,34.47,4.17,9.85,11.74
ace combat 6: fires of liberation,73.0,54.0,Project Aces,xbox-360,1.0,2038.0,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,6.14,63.54,0.0,27.44,2.89,1.02,5.1,0.51,26.53,1.53,32.65,3.06,13.78,1.02,14.8,42.16,17.49,5.39,14.49,20.48
ace combat x: skies of deception,37.0,26.0,Project Aces,psp,1.0,2090.0,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,75,7.74,52.98,0.0,22.02,17.26,0.0,28.78,0.0,12.95,2.88,24.46,7.91,14.39,2.88,5.76,41.72,30.18,3.55,10.06,14.5
ace combat zero: the belkan war,58.0,45.0,Project Aces,playstation-2,1.0,3920.0,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,6.25,69.53,0.39,21.88,1.95,0.0,7.84,0.0,16.67,0.98,30.39,3.43,21.57,7.35,11.76,39.38,37.32,3.3,10.1,9.9
ace combat: assault horizon,98.0,71.0,Project Aces,"playstation-3, xbox-360",2.0,3392.5,2011,Action,Namco Bandai Games,0.6,0.28,0.25,0.11,1.24,78,10.84,51.72,4.43,28.57,4.43,0.87,4.35,0.0,30.43,2.61,23.48,4.35,8.7,2.61,22.61,40.74,11.78,12.79,23.57,11.11
ace combat: assault horizon legacy,32.0,37.0,Project Aces,3ds,1.0,6802.0,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.25,71,15.27,66.41,0.76,15.27,2.29,0.0,8.33,0.0,12.5,2.08,35.42,9.38,9.38,2.08,20.83,54.12,20.0,7.65,14.71,3.53
ace combat: joint assault,23.0,30.0,Project Aces,psp,1.0,6014.0,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71,8.94,33.33,2.44,36.59,18.7,1.11,23.33,2.22,14.44,1.11,25.56,5.56,18.89,2.22,5.56,38.65,30.43,9.18,8.7,13.04
activision anthology,8.0,13.0,Contraband Entertainment,"playstation-2, game-boy-advance",2.0,8704.5,2002,Misc,Activision,0.28,0.2,0.0,0.06,0.54,75,10.94,67.19,4.69,15.63,1.56,3.45,13.79,3.45,6.9,6.9,10.34,10.34,34.48,6.9,3.45,20.39,7.24,9.21,41.45,21.71
advance wars,157.0,28.0,Intelligent Systems,game-boy-advance,1.0,2925.0,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92,1.43,30.51,0.0,63.77,4.29,0.2,9.48,0.4,10.69,0.2,26.61,1.61,39.31,7.46,4.03,40.65,17.35,11.46,19.72,10.82
advance wars 2: black hole rising,88.0,34.0,Intelligent Systems,game-boy-advance,1.0,3115.0,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89,1.34,31.89,0.0,61.77,5.01,0.0,11.73,0.56,9.78,0.0,25.7,0.28,39.39,8.94,3.63,38.03,21.17,13.36,18.21,9.24
advance wars: days of ruin,90.0,55.0,Intelligent Systems,ds,1.0,3219.0,2008,Strategy,Nintendo,0.44,0.13,0.0,0.06,0.6300000000000001,86,1.82,31.01,0.14,62.29,4.75,0.0,13.47,0.52,9.59,0.78,25.39,0.78,38.34,8.55,2.59,32.56,13.2,12.85,25.41,15.99
advance wars: dual strike,141.0,49.0,Intelligent Systems,ds,1.0,4806.0,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.3999999999999999,90,4.86,51.94,0.56,40.69,1.94,0.0,19.81,0.24,9.07,0.0,25.3,0.95,33.89,7.16,3.58,38.6,17.17,11.46,18.85,13.93
advent rising,12.0,50.0,GlyphX Games,"pc, xbox",2.0,9586.0,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13,68,23.4,59.57,2.13,10.64,4.26,0.0,3.33,0.0,36.67,3.33,23.33,0.0,6.67,6.67,20.0,33.81,29.5,3.6,12.23,20.86
adventure time: finn & jake investigations,17.0,9.0,Vicious Cycle,"playstation-4, xbox-one, wii-u",3.0,11715.83,2015,Action,Little Orbit,0.14,0.26,0.0,0.05,0.45,66,30.95,19.05,42.86,7.14,0.0,0.0,0.0,0.0,37.93,0.0,13.79,10.34,3.45,0.0,34.48,34.04,40.43,0.0,21.28,4.26
adventures to go!,10.0,7.0,Global A,psp,1.0,9653.0,2008,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01,0.12,58,20.97,69.35,6.45,3.23,0.0,0.0,4.17,0.0,4.17,0.0,25.0,0.0,45.83,12.5,8.33,19.18,6.16,16.44,30.14,28.08
aeon flux,0.0,27.0,Terminal Reality,"xbox-360, wii-u",2.0,14912.0,2005,Action,THQ,0.03,0.02,0.0,0.01,0.06,69,16.0,56.0,8.0,16.0,4.0,6.67,6.67,0.0,40.0,6.67,0.0,13.33,0.0,0.0,26.67,42.86,14.29,2.38,19.05,21.43
aero elite: combat academy,4.0,18.0,Sega AM2,playstation-2,1.0,11826.0,2002,Simulation,Sega,0.04,0.03,0.0,0.01,0.08,64,0.0,22.22,0.0,66.67,11.11,0.0,40.0,0.0,0.0,0.0,10.0,10.0,20.0,10.0,10.0,45.71,11.43,8.57,20.0,14.29
afro samurai,45.0,70.0,Namco Bandai Games,"playstation-3, xbox-360",2.0,7272.5,2009,Action,Atari,0.28,0.1,0.0,0.05,0.43,65,13.45,35.29,1.68,47.06,2.52,1.75,0.0,0.0,28.07,3.51,26.32,8.77,7.02,1.75,22.81,25.0,7.03,11.2,23.44,33.33
agatha christie: and then there were none,15.0,28.0,AWE Games,pc,1.0,11604.0,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.0799999999999999,68,23.33,56.67,3.33,16.67,0.0,0.0,0.0,0.0,11.54,0.0,30.77,15.38,15.38,0.0,26.92,34.48,29.31,8.62,3.45,24.14
agatha christie: evil under the sun,7.0,18.0,AWE Games,pc,1.0,11030.0,2008,Adventure,The Adventure Company,0.07,0.02,0.0,0.01,0.1,66,11.11,61.11,0.0,27.78,0.0,0.0,0.0,0.0,6.67,0.0,26.67,13.33,33.33,6.67,13.33,41.38,27.59,3.45,13.79,13.79
agatha christie: the abc murders,43.0,17.0,Artefacts Studio,"playstation-4, xbox-one",2.0,12959.5,2009,Adventure,JoWood Productions,0.08,0.03,0.0,0.01,0.12,67,27.5,50.0,0.0,20.0,2.5,0.0,0.0,0.0,27.03,0.0,27.03,2.7,2.7,0.0,40.54,59.09,31.82,2.27,2.27,4.55
age of conan: rise of the godslayer,43.0,14.0,Funcom,pc,1.0,14656.0,2010,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.02,83,7.32,56.1,7.32,24.39,4.88,6.67,60.0,0.0,0.0,6.67,6.67,0.0,13.33,6.67,0.0,5.2,4.46,3.72,45.35,41.26
age of empires iii,713.0,52.0,Ensemble Studios,pc,1.0,4928.0,2005,Strategy,Microsoft,0.0,0.32,0.0,0.07,0.39,81,8.82,76.92,0.45,12.9,0.9,1.17,22.27,0.39,10.16,0.78,16.02,2.34,34.38,8.59,3.91,34.44,20.25,7.09,24.26,13.96
age of empires iii: the asian dynasties,98.0,19.0,Big Huge Games,pc,1.0,12179.0,2007,Strategy,Microsoft,0.0,0.05,0.0,0.01,0.06,81,8.82,76.92,0.45,12.9,0.9,1.17,22.27,0.39,10.16,0.78,16.02,2.34,34.38,8.59,3.91,34.44,20.25,7.09,24.26,13.96
age of empires online,190.0,44.0,Gas Powered Games,pc,1.0,12362.0,2011,Strategy,Microsoft,0.01,0.04,0.0,0.01,0.06,70,17.5,53.75,1.25,22.5,5.0,6.25,50.0,0.0,0.0,6.25,6.25,0.0,18.75,12.5,0.0,7.75,6.2,18.6,44.96,22.48
age of empires: mythologies,47.0,28.0,Griptonite Games,ds,1.0,7231.0,2008,Strategy,THQ,0.17,0.03,0.0,0.02,0.22,78,9.09,33.33,1.52,48.48,7.58,0.0,6.67,3.33,13.33,3.33,16.67,3.33,43.33,3.33,6.67,17.55,10.64,11.17,35.64,25.0
age of empires: the age of kings,54.0,38.0,Backbone Entertainment,ds,1.0,7030.0,2006,Strategy,THQ,0.19,0.02,0.0,0.02,0.2299999999999999,80,10.0,54.17,0.83,34.17,0.83,1.72,15.52,0.0,5.17,3.45,18.97,5.17,25.86,17.24,6.9,20.45,13.74,9.58,31.63,24.6
age of mythology,838.0,31.0,Ensemble Studios,pc,1.0,11149.0,2002,Strategy,Microsoft,0.02,0.06,0.0,0.01,0.09,89,7.28,76.06,0.7,15.02,0.94,0.36,20.58,0.36,10.47,0.0,15.52,1.44,34.66,13.72,2.89,40.33,27.9,6.49,16.02,9.25
age of mythology: the titans,194.0,25.0,Ensemble Studios,pc,1.0,14003.0,2003,Strategy,Microsoft,0.01,0.02,0.0,0.0,0.03,84,7.28,76.06,0.7,15.02,0.94,0.36,20.58,0.36,10.47,0.0,15.52,1.44,34.66,13.72,2.89,40.33,27.9,6.49,16.02,9.25
aggressive inline,13.0,31.0,Ltd.,"playstation-2, gamecube",2.0,10114.33,2002,Sports,Acclaim Entertainment,0.26,0.15,0.0,0.04,0.45,85,12.07,62.07,1.72,22.41,1.72,0.0,2.7,0.0,18.92,2.7,37.84,2.7,21.62,8.11,5.41,35.92,19.42,8.74,18.45,17.48
aidyn chronicles: the first mage,18.0,7.0,H2O Interactive,nintendo-64,1.0,10634.0,2001,Role-Playing,THQ,0.08,0.02,0.0,0.0,0.1,53,0.83,25.0,0.83,57.5,15.83,0.0,34.48,0.0,0.0,0.0,5.17,3.45,22.41,31.03,3.45,22.27,11.85,6.16,35.55,24.17
air conflicts: secret wars,0.0,14.0,Games Farm,"playstation-3, xbox-360, pc, nintendo-switch",4.0,11289.33,2011,Simulation,bitComposer Games,0.16,0.1,0.0,0.05,0.31,61,31.25,37.5,0.0,25.0,6.25,0.0,0.0,8.33,25.0,0.0,16.67,8.33,33.33,0.0,8.33,37.5,16.67,4.17,29.17,12.5
air traffic chaos,6.0,8.0,Sonic Powered,wii,1.0,13007.0,2007,Simulation,Ertain,0.05,0.0,0.0,0.0,0.05,66,0.0,18.52,0.0,77.78,3.7,6.67,0.0,0.0,60.0,0.0,20.0,0.0,6.67,0.0,6.67,25.4,12.7,6.35,23.81,31.75
airblade,9.0,18.0,Criterion Games,playstation-2,1.0,7056.0,2001,Sports,Sony,0.11,0.09,0.0,0.03,0.23,70,11.76,52.94,1.96,23.53,9.8,0.0,5.88,0.0,23.53,2.94,29.41,14.71,2.94,5.88,14.71,27.03,15.32,5.41,19.82,32.43
airforce delta storm,0.0,21.0,KCE Studios,xbox,1.0,11528.5,2001,Shooter,Konami Digital Entertainment,0.16,0.05,0.0,0.01,0.22,61,4.35,34.78,0.0,43.48,17.39,0.0,5.88,0.0,17.65,0.0,35.29,5.88,23.53,11.76,0.0,27.5,30.0,5.0,20.0,17.5
alan wake,1294.0,100.0,Remedy Entertainment,"xbox-360, pc",2.0,6777.0,2010,Action,Microsoft,0.66,0.5700000000000001,0.05,0.14,1.42,83,9.88,68.92,1.46,18.81,0.94,0.43,1.72,0.0,36.49,0.0,39.22,0.86,7.33,1.44,12.5,54.13,13.92,6.66,13.37,11.94
alex rider: stormbreaker,7.0,11.0,Altron,wii,1.0,12131.0,2006,Action,THQ,0.06,0.0,0.0,0.0,0.06,48,42.31,38.46,15.38,3.85,0.0,0.0,5.56,0.0,22.22,16.67,0.0,22.22,0.0,0.0,33.33,44.12,20.59,0.0,20.59,14.71
alice: madness returns,298.0,67.0,Spicy Horse,"playstation-3, xbox-360, pc",3.0,5699.0,2011,Adventure,Electronic Arts,0.49,0.5,0.08,0.15,1.22,70,14.26,71.3,0.71,13.37,0.36,0.0,0.87,0.0,21.39,0.0,54.34,0.29,14.74,2.02,6.36,32.56,22.87,11.38,18.34,14.86
alien hominid,21.0,47.0,The Behemoth,"xbox-360, playstation-2, gamecube",3.0,10771.0,2004,Shooter,Zoo,0.12,0.06,0.0,0.01,0.19,78,0.87,20.87,0.0,60.87,17.39,0.0,1.72,1.72,15.52,10.34,8.62,27.59,1.72,1.72,31.03,25.91,10.31,8.08,24.79,30.92
alien: isolation,1651.0,50.0,Creative Assembly,"playstation-4, xbox-one, pc, nintendo-switch",4.0,5138.2,2014,Shooter,Sega,0.8300000000000001,1.25,0.04,0.34,2.46,79,0.74,17.81,0.74,70.5,10.2,0.63,2.83,0.31,9.75,0.31,59.12,1.26,21.07,1.89,2.83,40.53,15.71,14.1,23.49,6.17
aliens in the attic,0.0,7.0,Engine Software,"ds, playstation-2",2.0,12301.0,2009,Action,Playlogic Game Factory,0.12,0.0,0.0,0.01,0.13,58,13.33,40.0,0.0,26.67,20.0,0.0,0.0,0.0,38.46,0.0,23.08,23.08,0.0,0.0,15.38,68.42,10.53,0.0,21.05,0.0
aliens versus predator: extinction,17.0,19.0,Zono Inc.,"playstation-2, xbox",2.0,9579.0,2003,Strategy,Electronic Arts,0.15,0.09,0.0,0.02,0.26,64,4.17,27.08,0.0,47.92,20.83,0.0,0.0,0.0,7.41,0.0,29.63,7.41,33.33,11.11,11.11,26.09,21.74,6.96,24.35,20.87
aliens: colonial marines,487.0,47.0,Gearbox Software,"playstation-3, xbox-360, pc",3.0,4610.33,2013,Shooter,Sega,0.66,0.74,0.0,0.22,1.62,48,24.67,47.33,8.67,16.67,2.67,2.0,0.0,0.0,33.0,3.0,8.0,13.0,5.0,1.0,35.0,48.66,12.95,10.27,16.52,11.61
aliens: infestation,40.0,43.0,Gearbox Software,ds,1.0,8131.0,2011,Action,Sega,0.1,0.06,0.0,0.02,0.18,76,11.24,59.76,0.59,25.44,2.96,0.0,0.0,0.0,23.53,0.84,12.61,21.01,3.36,0.84,37.82,33.92,25.99,9.69,20.7,9.69
all-pro football 2k8,6.0,23.0,Visual Concepts,"playstation-3, xbox-360",2.0,7592.5,2007,Sports,Take-Two Interactive,0.38,0.0,0.0,0.03,0.41,73,8.33,69.44,8.33,13.89,0.0,13.33,6.67,6.67,20.0,0.0,13.33,6.67,33.33,0.0,0.0,19.23,6.92,3.85,33.08,36.92
all-star baseball 2002,6.0,17.0,Acclaim Studios Austin,"playstation-2, gamecube",2.0,5417.0,2001,Sports,Acclaim Entertainment,0.44,0.25,0.0,0.08,0.77,66,25.0,75.0,0.0,0.0,0.0,5.26,21.05,0.0,5.26,0.0,10.53,0.0,10.53,47.37,0.0,25.49,9.8,5.88,29.41,29.41
all-star baseball 2003,5.0,16.0,Acclaim Studios Austin,gamecube,1.0,6759.0,2002,Sports,Acclaim Entertainment,0.8,0.42,0.0,0.11,1.33,83,21.05,68.42,0.0,5.26,5.26,0.0,6.67,0.0,6.67,0.0,13.33,0.0,40.0,33.33,0.0,37.5,12.5,3.13,18.75,28.13
alone in the dark,305.0,77.0,Pieces Interactive,"pc, playstation-5, xbox-series-x",3.0,10229.0,2008,Adventure,Atari,0.26,0.41,0.0,0.08,0.7499999999999999,63,6.25,81.25,0.0,12.5,0.0,0.0,0.0,0.0,25.0,0.0,31.25,6.25,0.0,0.0,37.5,47.37,42.11,0.0,5.26,5.26
alone in the dark: the new nightmare,64.0,16.0,Spiral House,"pc, playstation, dreamcast",3.0,8555.0,2001,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16,66,5.33,39.64,0.0,49.11,5.92,0.0,5.43,1.09,26.09,1.09,33.7,4.35,16.3,0.0,11.96,30.74,19.26,10.81,21.62,17.57
alpha protocol,137.0,68.0,Obsidian Entertainment,"playstation-3, xbox-360, pc",3.0,7808.33,2010,Role-Playing,Sega,0.42,0.3399999999999999,0.0,0.12,0.88,63,10.98,71.14,2.03,15.04,0.81,0.0,3.11,0.0,19.25,0.0,49.07,1.24,16.77,4.35,6.21,40.54,15.32,7.93,13.87,22.34
alter echo,0.0,26.0,Outrage Games,playstation-2,1.0,11358.0,2003,Shooter,THQ,0.1,0.06,0.0,0.02,0.18,62,14.58,62.5,0.0,20.83,2.08,0.0,4.76,0.0,33.33,4.76,23.81,4.76,4.76,0.0,23.81,22.35,18.82,9.41,28.24,21.18
altered beast: guardian of the realms,6.0,13.0,3d6 Games,game-boy-advance,1.0,10870.0,2002,Action,THQ,0.07,0.02,0.0,0.0,0.09,63,8.33,19.44,0.0,50.0,22.22,0.0,0.0,7.69,34.62,7.69,7.69,15.38,3.85,3.85,19.23,23.64,30.91,7.27,21.82,16.36
amazing island,7.0,22.0,Hitmaker,playstation-5,1.0,12814.0,2004,Strategy,Sega,0.04,0.01,0.0,0.0,0.05,59,38.96,33.77,7.79,15.58,3.9,0.0,6.0,2.0,10.0,2.0,30.0,8.0,26.0,2.0,14.0,39.87,20.25,6.96,18.99,13.92
american idol,4.0,14.0,Hothouse Creations,"pc, playstation-2, game-boy-advance",3.0,5491.0,2003,Misc,Codemasters,0.42,0.27,0.0,0.07,0.76,41,20.83,12.5,66.67,0.0,0.0,44.44,0.0,11.11,11.11,11.11,0.0,16.67,0.0,0.0,5.56,58.62,17.24,0.0,13.79,10.34
amped 2,9.0,34.0,Indie Built,xbox,1.0,6647.0,2003,Sports,Microsoft,0.2,0.04,0.0,0.01,0.25,80,6.06,54.55,0.0,21.21,18.18,5.56,16.67,5.56,11.11,5.56,16.67,0.0,27.78,11.11,0.0,24.0,10.67,10.67,34.67,20.0
amped 3,23.0,49.0,2K Sports,xbox-360,1.0,8623.0,2005,Sports,Take-Two Interactive,0.13,0.02,0.0,0.01,0.16,72,24.0,64.0,0.0,10.0,2.0,0.0,3.85,0.0,30.77,0.0,26.92,0.0,34.62,0.0,3.85,27.84,18.04,6.7,20.62,26.8
amped: freestyle snowboarding,14.0,30.0,Indie Built,xbox,1.0,2517.0,2001,Sports,Microsoft,0.69,0.11,0.0,0.02,0.82,78,4.88,63.41,0.0,21.95,9.76,0.0,5.56,5.56,11.11,0.0,22.22,5.56,27.78,5.56,16.67,14.15,14.15,11.32,32.08,28.3
amplitude,51.0,60.0,Harmonix Music Systems,playstation-4,1.0,8040.0,2003,Misc,Sony,0.09,0.07,0.0,0.02,0.18,74,2.33,13.95,0.0,67.44,16.28,0.0,17.86,0.0,14.29,7.14,17.86,0.0,21.43,3.57,17.86,36.51,17.46,11.11,22.22,12.7
